county,candidate,votes,precinct,office,district,party
Highlands,Terry,37,ALL,President of the US,,CPF
Highlands,Sonski,28,ALL,President of the US,,ASP
Highlands,Stein,73,ALL,President of the US,,GRN
Highlands,Ayyadurai,0,ALL,President of the US,,WRI
Highlands,Fox,0,ALL,President of the US,,WRI
Hillsborough,Trump,341963,ALL,President of the US,,REP
Hillsborough,Harris,321348,ALL,President of the US,,DEM
Hillsborough,Oliver,2365,ALL,President of the US,,LIB
Hillsborough,DelaCruz,1049,ALL,President of the US,,PSL
Hillsborough,Terry,403,ALL,President of the US,,CPF
Hillsborough,Sonski,530,ALL,President of the US,,ASP
Hillsborough,Stein,4157,ALL,President of the US,,GRN
Hillsborough,Ayyadurai,11,ALL,President of the US,,WRI
Hillsborough,Fox,1,ALL,President of the US,,WRI
Holmes,Trump,8193,ALL,President of the US,,REP
Holmes,Harris,882,ALL,President of the US,,DEM
Holmes,Oliver,19,ALL,President of the US,,LIB
Holmes,DelaCruz,6,ALL,President of the US,,PSL
Holmes,Terry,1,ALL,President of the US,,CPF
Holmes,Sonski,4,ALL,President of the US,,ASP
Holmes,Stein,11,ALL,President of the US,,GRN
Holmes,Ayyadurai,0,ALL,President of the US,,WRI
Holmes,Fox,0,ALL,President of the US,,WRI
Indian River,Trump,62734,ALL,President of the US,,REP
Indian River,Harris,35644,ALL,President of the US,,DEM
Indian River,Oliver,223,ALL,President of the US,,LIB
Indian River,DelaCruz,59,ALL,President of the US,,PSL
Indian River,Terry,45,ALL,President of the US,,CPF
Indian River,Sonski,51,ALL,President of the US,,ASP
Indian River,Stein,245,ALL,President of the US,,GRN
Indian River,Ayyadurai,2,ALL,President of the US,,WRI
Indian River,Fox,0,ALL,President of the US,,WRI
Jackson,Trump,16074,ALL,President of the US,,REP
Jackson,Harris,5892,ALL,President of the US,,DEM
Jackson,Oliver,54,ALL,President of the US,,LIB
Jackson,DelaCruz,19,ALL,President of the US,,PSL
Jackson,Terry,16,ALL,President of the US,,CPF
Jackson,Sonski,16,ALL,President of the US,,ASP
Jackson,Stein,27,ALL,President of the US,,GRN
Jackson,Ayyadurai,0,ALL,President of the US,,WRI
Jackson,Fox,0,ALL,President of the US,,WRI
Jefferson,Trump,5010,ALL,President of the US,,REP
Jefferson,Harris,3428,ALL,President of the US,,DEM
Jefferson,Oliver,34,ALL,President of the US,,LIB
Jefferson,DelaCruz,2,ALL,President of the US,,PSL
Jefferson,Terry,10,ALL,President of the US,,CPF
Jefferson,Sonski,1,ALL,President of the US,,ASP
Jefferson,Stein,15,ALL,President of the US,,GRN
Jefferson,Ayyadurai,0,ALL,President of the US,,WRI
Jefferson,Fox,0,ALL,President of the US,,WRI
Lafayette,Trump,3296,ALL,President of the US,,REP
Lafayette,Harris,441,ALL,President of the US,,DEM
Lafayette,Oliver,6,ALL,President of the US,,LIB
Lafayette,DelaCruz,2,ALL,President of the US,,PSL
Lafayette,Terry,5,ALL,President of the US,,CPF
Lafayette,Sonski,0,ALL,President of the US,,ASP
Lafayette,Stein,6,ALL,President of the US,,GRN
Lafayette,Ayyadurai,0,ALL,President of the US,,WRI
Lafayette,Fox,0,ALL,President of the US,,WRI
Lake,Trump,140470,ALL,President of the US,,REP
Lake,Harris,84498,ALL,President of the US,,DEM
Lake,Oliver,605,ALL,President of the US,,LIB
Lake,DelaCruz,228,ALL,President of the US,,PSL
Lake,Terry,132,ALL,President of the US,,CPF
Lake,Sonski,144,ALL,President of the US,,ASP
Lake,Stein,621,ALL,President of the US,,GRN
Lake,Ayyadurai,6,ALL,President of the US,,WRI
Lake,Fox,1,ALL,President of the US,,WRI
Lee,Trump,250648,ALL,President of the US,,REP
Lee,Harris,139169,ALL,President of the US,,DEM
Lee,Oliver,970,ALL,President of the US,,LIB
Lee,DelaCruz,308,ALL,President of the US,,PSL
Lee,Terry,183,ALL,President of the US,,CPF
Lee,Sonski,240,ALL,President of the US,,ASP
Lee,Stein,917,ALL,President of the US,,GRN
Lee,Ayyadurai,13,ALL,President of the US,,WRI
Lee,Fox,0,ALL,President of the US,,WRI
Leon,Trump,60388,ALL,President of the US,,REP
Leon,Harris,94474,ALL,President of the US,,DEM
Leon,Oliver,560,ALL,President of the US,,LIB
Leon,DelaCruz,250,ALL,President of the US,,PSL
Leon,Terry,116,ALL,President of the US,,CPF
Leon,Sonski,213,ALL,President of the US,,ASP
Leon,Stein,739,ALL,President of the US,,GRN
Leon,Ayyadurai,2,ALL,President of the US,,WRI
Leon,Fox,0,ALL,President of the US,,WRI
Levy,Trump,18245,ALL,President of the US,,REP
Levy,Harris,5994,ALL,President of the US,,DEM
Levy,Oliver,54,ALL,President of the US,,LIB
Levy,DelaCruz,20,ALL,President of the US,,PSL
Levy,Terry,10,ALL,President of the US,,CPF
Levy,Sonski,15,ALL,President of the US,,ASP
Levy,Stein,39,ALL,President of the US,,GRN
Levy,Ayyadurai,1,ALL,President of the US,,WRI
Levy,Fox,0,ALL,President of the US,,WRI
Liberty,Trump,2898,ALL,President of the US,,REP
Liberty,Harris,563,ALL,President of the US,,DEM
Liberty,Oliver,11,ALL,President of the US,,LIB
Liberty,DelaCruz,0,ALL,President of the US,,PSL
Liberty,Terry,10,ALL,President of the US,,CPF
Liberty,Sonski,1,ALL,President of the US,,ASP
Liberty,Stein,4,ALL,President of the US,,GRN
Liberty,Ayyadurai,0,ALL,President of the US,,WRI
Liberty,Fox,0,ALL,President of the US,,WRI
Madison,Trump,5872,ALL,President of the US,,REP
Madison,Harris,3231,ALL,President of the US,,DEM
Madison,Oliver,18,ALL,President of the US,,LIB
Madison,DelaCruz,8,ALL,President of the US,,PSL
Madison,Terry,9,ALL,President of the US,,CPF
Madison,Sonski,8,ALL,President of the US,,ASP
Madison,Stein,8,ALL,President of the US,,GRN
Madison,Ayyadurai,0,ALL,President of the US,,WRI
Madison,Fox,0,ALL,President of the US,,WRI
Manatee,Trump,140457,ALL,President of the US,,REP
Manatee,Harris,86624,ALL,President of the US,,DEM
Manatee,Oliver,659,ALL,President of the US,,LIB
Manatee,DelaCruz,168,ALL,President of the US,,PSL
Manatee,Terry,120,ALL,President of the US,,CPF
Manatee,Sonski,125,ALL,President of the US,,ASP
Manatee,Stein,621,ALL,President of the US,,GRN
Manatee,Ayyadurai,4,ALL,President of the US,,WRI
Manatee,Fox,0,ALL,President of the US,,WRI
Marion,Trump,140168,ALL,President of the US,,REP
Marion,Harris,72424,ALL,President of the US,,DEM
Marion,Oliver,547,ALL,President of the US,,LIB
Marion,DelaCruz,206,ALL,President of the US,,PSL
Marion,Terry,115,ALL,President of the US,,CPF
Marion,Sonski,142,ALL,President of the US,,ASP
Marion,Stein,482,ALL,President of the US,,GRN
Marion,Ayyadurai,5,ALL,President of the US,,WRI
Marion,Fox,0,ALL,President of the US,,WRI
Martin,Trump,64119,ALL,President of the US,,REP
Martin,Harris,33525,ALL,President of the US,,DEM
Martin,Oliver,231,ALL,President of the US,,LIB
Martin,DelaCruz,54,ALL,President of the US,,PSL
Martin,Terry,32,ALL,President of the US,,CPF
Martin,Sonski,45,ALL,President of the US,,ASP
Martin,Stein,269,ALL,President of the US,,GRN
Martin,Ayyadurai,0,ALL,President of the US,,WRI
Martin,Fox,0,ALL,President of the US,,WRI
Miami-Dade,Trump,605497,ALL,President of the US,,REP
Miami-Dade,Harris,480156,ALL,President of the US,,DEM
Miami-Dade,Oliver,2096,ALL,President of the US,,LIB
Miami-Dade,DelaCruz,1308,ALL,President of the US,,PSL
Miami-Dade,Terry,476,ALL,President of the US,,CPF
Miami-Dade,Sonski,455,ALL,President of the US,,ASP
Miami-Dade,Stein,3811,ALL,President of the US,,GRN
Miami-Dade,Ayyadurai,12,ALL,President of the US,,WRI
Miami-Dade,Fox,0,ALL,President of the US,,WRI
Monroe,Trump,26063,ALL,President of the US,,REP
Monroe,Harris,17923,ALL,President of the US,,DEM
Monroe,Oliver,133,ALL,President of the US,,LIB
Monroe,DelaCruz,22,ALL,President of the US,,PSL
Monroe,Terry,11,ALL,President of the US,,CPF
Monroe,Sonski,11,ALL,President of the US,,ASP
Monroe,Stein,152,ALL,President of the US,,GRN
Monroe,Ayyadurai,1,ALL,President of the US,,WRI
Monroe,Fox,0,ALL,President of the US,,WRI
Nassau,Trump,47937,ALL,President of the US,,REP
Nassau,Harris,17137,ALL,President of the US,,DEM
Nassau,Oliver,258,ALL,President of the US,,LIB
Nassau,DelaCruz,49,ALL,President of the US,,PSL
Nassau,Terry,32,ALL,President of the US,,CPF
Nassau,Sonski,47,ALL,President of the US,,ASP
Nassau,Stein,146,ALL,President of the US,,GRN
Nassau,Ayyadurai,4,ALL,President of the US,,WRI
Nassau,Fox,0,ALL,President of the US,,WRI
Okaloosa,Trump,80284,ALL,President of the US,,REP
Okaloosa,Harris,32030,ALL,President of the US,,DEM
Okaloosa,Oliver,593,ALL,President of the US,,LIB
Okaloosa,DelaCruz,119,ALL,President of the US,,PSL
Okaloosa,Terry,92,ALL,President of the US,,CPF
Okaloosa,Sonski,131,ALL,President of the US,,ASP
Okaloosa,Stein,311,ALL,President of the US,,GRN
Okaloosa,Ayyadurai,2,ALL,President of the US,,WRI
Okaloosa,Fox,0,ALL,President of the US,,WRI
Okeechobee,Trump,12314,ALL,President of the US,,REP
Okeechobee,Harris,3669,ALL,President of the US,,DEM
Okeechobee,Oliver,25,ALL,President of the US,,LIB
Okeechobee,DelaCruz,10,ALL,President of the US,,PSL
Okeechobee,Terry,4,ALL,President of the US,,CPF
Okeechobee,Sonski,5,ALL,President of the US,,ASP
Okeechobee,Stein,28,ALL,President of the US,,GRN
Okeechobee,Ayyadurai,0,ALL,President of the US,,WRI
Okeechobee,Fox,0,ALL,President of the US,,WRI
Orange,Trump,258254,ALL,President of the US,,REP
Orange,Harris,340726,ALL,President of the US,,DEM
Orange,Oliver,2056,ALL,President of the US,,LIB
Orange,DelaCruz,918,ALL,President of the US,,PSL
Orange,Terry,344,ALL,President of the US,,CPF
Orange,Sonski,605,ALL,President of the US,,ASP
Orange,Stein,4181,ALL,President of the US,,GRN
Orange,Ayyadurai,7,ALL,President of the US,,WRI
Orange,Fox,1,ALL,President of the US,,WRI
Osceola,Trump,86684,ALL,President of the US,,REP
Osceola,Harris,84161,ALL,President of the US,,DEM
Osceola,Oliver,475,ALL,President of the US,,LIB
Osceola,DelaCruz,294,ALL,President of the US,,PSL
Osceola,Terry,110,ALL,President of the US,,CPF
Osceola,Sonski,133,ALL,President of the US,,ASP
Osceola,Stein,844,ALL,President of the US,,GRN
Osceola,Ayyadurai,3,ALL,President of the US,,WRI
Osceola,Fox,1,ALL,President of the US,,WRI
Palm Beach,Trump,366686,ALL,President of the US,,REP
Palm Beach,Harris,372230,ALL,President of the US,,DEM
Palm Beach,Oliver,1649,ALL,President of the US,,LIB
Palm Beach,DelaCruz,797,ALL,President of the US,,PSL
Palm Beach,Terry,330,ALL,President of the US,,CPF
Palm Beach,Sonski,446,ALL,President of the US,,ASP
Palm Beach,Stein,3120,ALL,President of the US,,GRN
Palm Beach,Ayyadurai,12,ALL,President of the US,,WRI
Palm Beach,Fox,0,ALL,President of the US,,WRI
Pasco,Trump,197767,ALL,President of the US,,REP
