county,candidate,votes,precinct,office,district,party
CAMERON,Sonski,8,ALL,President of the US,,OTH
CAMERON,West,5,ALL,President of the US,,OTH
CAMP,Trump,4006,ALL,President of the US,,REP
CAMP,Harris,1200,ALL,President of the US,,DEM
CAMP,Oliver,22,ALL,President of the US,,LIB
CAMP,Stein,8,ALL,President of the US,,GRN
CAMP,Ayyadurai,0,ALL,President of the US,,OTH
CAMP,Cuellar,0,ALL,President of the US,,OTH
CAMP,DeLaCruz,0,ALL,President of the US,,OTH
CAMP,Fox,0,ALL,President of the US,,OTH
CAMP,Sonski,0,ALL,President of the US,,OTH
CAMP,West,0,ALL,President of the US,,OTH
CARSON,Trump,2853,ALL,President of the US,,REP
CARSON,Harris,288,ALL,President of the US,,DEM
CARSON,Oliver,8,ALL,President of the US,,LIB
CARSON,Stein,8,ALL,President of the US,,GRN
CARSON,Ayyadurai,0,ALL,President of the US,,OTH
CARSON,Cuellar,1,ALL,President of the US,,OTH
CARSON,DeLaCruz,0,ALL,President of the US,,OTH
CARSON,Fox,0,ALL,President of the US,,OTH
CARSON,Sonski,0,ALL,President of the US,,OTH
CARSON,West,0,ALL,President of the US,,OTH
CASS,Trump,11676,ALL,President of the US,,REP
CASS,Harris,2398,ALL,President of the US,,DEM
CASS,Oliver,32,ALL,President of the US,,LIB
CASS,Stein,9,ALL,President of the US,,GRN
CASS,Ayyadurai,0,ALL,President of the US,,OTH
CASS,Cuellar,0,ALL,President of the US,,OTH
CASS,DeLaCruz,0,ALL,President of the US,,OTH
CASS,Fox,0,ALL,President of the US,,OTH
CASS,Sonski,2,ALL,President of the US,,OTH
CASS,West,1,ALL,President of the US,,OTH
CASTRO,Trump,1594,ALL,President of the US,,REP
CASTRO,Harris,418,ALL,President of the US,,DEM
CASTRO,Oliver,4,ALL,President of the US,,LIB
CASTRO,Stein,5,ALL,President of the US,,GRN
CASTRO,Ayyadurai,0,ALL,President of the US,,OTH
CASTRO,Cuellar,0,ALL,President of the US,,OTH
CASTRO,DeLaCruz,0,ALL,President of the US,,OTH
CASTRO,Fox,0,ALL,President of the US,,OTH
CASTRO,Sonski,2,ALL,President of the US,,OTH
CASTRO,West,0,ALL,President of the US,,OTH
CHAMBERS,Trump,20557,ALL,President of the US,,REP
CHAMBERS,Harris,4187,ALL,President of the US,,DEM
CHAMBERS,Oliver,144,ALL,President of the US,,LIB
CHAMBERS,Stein,68,ALL,President of the US,,GRN
CHAMBERS,Ayyadurai,0,ALL,President of the US,,OTH
CHAMBERS,Cuellar,0,ALL,President of the US,,OTH
CHAMBERS,DeLaCruz,0,ALL,President of the US,,OTH
CHAMBERS,Fox,0,ALL,President of the US,,OTH
CHAMBERS,Sonski,1,ALL,President of the US,,OTH
CHAMBERS,West,1,ALL,President of the US,,OTH
CHEROKEE,Trump,16580,ALL,President of the US,,REP
CHEROKEE,Harris,3739,ALL,President of the US,,DEM
CHEROKEE,Oliver,91,ALL,President of the US,,LIB
CHEROKEE,Stein,74,ALL,President of the US,,GRN
CHEROKEE,Ayyadurai,0,ALL,President of the US,,OTH
CHEROKEE,Cuellar,0,ALL,President of the US,,OTH
CHEROKEE,DeLaCruz,0,ALL,President of the US,,OTH
CHEROKEE,Fox,0,ALL,President of the US,,OTH
CHEROKEE,Sonski,0,ALL,President of the US,,OTH
CHEROKEE,West,0,ALL,President of the US,,OTH
CHILDRESS,Trump,1991,ALL,President of the US,,REP
CHILDRESS,Harris,263,ALL,President of the US,,DEM
CHILDRESS,Oliver,11,ALL,President of the US,,LIB
CHILDRESS,Stein,7,ALL,President of the US,,GRN
CHILDRESS,Ayyadurai,0,ALL,President of the US,,OTH
CHILDRESS,Cuellar,0,ALL,President of the US,,OTH
CHILDRESS,DeLaCruz,0,ALL,President of the US,,OTH
CHILDRESS,Fox,0,ALL,President of the US,,OTH
CHILDRESS,Sonski,0,ALL,President of the US,,OTH
CHILDRESS,West,0,ALL,President of the US,,OTH
CLAY,Trump,5283,ALL,President of the US,,REP
CLAY,Harris,584,ALL,President of the US,,DEM
CLAY,Oliver,21,ALL,President of the US,,LIB
CLAY,Stein,13,ALL,President of the US,,GRN
CLAY,Ayyadurai,1,ALL,President of the US,,OTH
